index,ok,track_id,url,duration_str,duration,title,score,view_count,genre,num_mixes,genre_counts
1356,v,_cHwb8tOEHM,https://youtu.be/_cHwb8tOEHM,9:31,571,Armin Van Buuren - Blue Fear (Original 2003 Mix),0.0005,"1,790,314",Trance,3,"[('Trance', 2.0), ('Progressive Trance', 1.0)]"
1357,x,3egpRvRc5Ds,https://youtu.be/3egpRvRc5Ds,3:39,219,SICK INDIVIDUALS feat. Nevve - Symphony (Official Music Video),0.0005,"1,737,128",Progressive House,3,"[('Progressive House', 2.5), ('House', 0.5)]"
1358,v,YqmlXTN3GPQ,https://youtu.be/YqmlXTN3GPQ,5:45,345,Andrés - New For U,0.0005,"1,708,134",Deep House,3,"[('Deep House', 1.0), ('Techno', 0.5), ('House', 0.5), ('Funk', 0.5), ('Soul', 0.5)]"
1359,v,lyyzx_Nq0-Y,https://youtu.be/lyyzx_Nq0-Y,6:55,415,John Talabot - So Will Be Now... (feat. Pional),0.0005,"1,703,426",House,3,"[('House', 2.0), ('Tech House', 0.5), ('Progressive House', 0.5)]"
1360,v,Ag8HoZDuzxc,https://youtu.be/Ag8HoZDuzxc,7:10,430,KiNK - Cloud Generator,0.0004,"1,642,018",House,3,"[('House', 1.33), ('Techno', 1.0), ('Tech House', 0.33), ('Deep House', 0.33)]"
1361,x,pMBP0XzSNYg,https://youtu.be/pMBP0XzSNYg,3:26,206,TC - Get Down Low (Music Video),0.0004,"1,608,684",Drum & Bass,3,"[('Drum & Bass', 1.5), ('Dubstep', 1.0)]"
1362,v,DwqUGkR9yh8,https://youtu.be/DwqUGkR9yh8,5:16,316,Knife Party 'Resistance',0.0004,"1,590,608",Progressive House,3,"[('Progressive House', 2.0), ('Trance', 0.5), ('Progressive Trance', 0.5)]"
1363,v,CNBZYSedvG0,https://youtu.be/CNBZYSedvG0,6:09,369,Gorillaz - Ascension (Nic Fanciulli Remix),0.0004,"1,554,604",House,3,"[('Techno', 1.0), ('Tech House', 1.0), ('House', 1.0)]"
1364,v,CQgLa-840GM,https://youtu.be/CQgLa-840GM,3:33,213,Lana Del Rey - West Coast (Camo & Krooked Remix),0.0004,"1,546,512",Drum & Bass,3,"[('Drum & Bass', 3.0)]"
1365,v,qfC5SRRNgrA,https://youtu.be/qfC5SRRNgrA,4:54,294,Audien & Matthew Koma - Serotonin (Official Music Video),0.0004,"1,525,972",Progressive House,3,"[('Progressive House', 1.5), ('Progressive Trance', 1.0), ('Trance', 0.5)]"
