index,ok,track_id,url,duration_str,duration,title,score,view_count,genre,num_mixes,genre_counts,beatport_genre,bpm,key,track_name,artist,length,beatport_url
131.0,v,8onKTjXcRxw,https://youtu.be/8onKTjXcRxw,5:13,313,RAM TRILOGY - REFLECTION (LOOK INSIDE),0.0918,"2,748",Drum & Bass,7,"[('Drum & Bass', 7.0)]",Drum & Bass,86,Ab Major,Reflection (Look Inside),Ram Trilogy,5:12,https://www.beatport.com/track/Reflection%20(Look%20Inside)/8985840
133.0,v,Ob8lpOnT7ZU,https://youtu.be/Ob8lpOnT7ZU,5:24,324,Merk and Kremont vs. Amersy - Charger (Extended Version),0.0918,344,Progressive House,7,"[('Progressive House', 6.0), ('House', 0.5), ('Progressive Trance', 0.5)]",Mainstage,128,Ab Major,Charger,Merk & Kremont,4:23,https://www.beatport.com/track/Charger/5039014
135.0,v,e_YvqX-2yOI,https://youtu.be/e_YvqX-2yOI,6:24,384,Gregory Porter - Liquid Spirit (Claptone Remix),0.083,"46,883,829",House,6,"[('House', 4.33), ('Tech House', 1.0), ('Deep House', 0.33), ('Vocal House', 0.33)]",Dance / Electro Pop,121,E Major,Liquid Spirit,Claptone,6:23,https://www.beatport.com/track/Liquid%20Spirit/15746220
136.0,v,FO566BKY2Jc,https://youtu.be/FO566BKY2Jc,7:11,431,Oxia - Domino,0.083,"46,736,081",House,6,"[('House', 1.83), ('Tech House', 1.5), ('Minimal', 1.0), ('Progressive House', 0.33), ('Trance', 0.33)]",Techno (Peak Time / Driving),129,Bb Major,Domino,Oxia,7:15,https://www.beatport.com/track/Domino/10822151
137.0,v,jjx2oc2NRzA,https://youtu.be/jjx2oc2NRzA,4:42,282,Oliver Heldens - Gecko (Original Mix),0.0782,"28,444,607",Progressive House,6,"[('Progressive House', 3.5), ('House', 1.0), ('Tech House', 0.5), ('Trance', 0.5), ('Progressive Trance', 0.5)]",Mainstage,125,D Minor,Gecko,Oliver Heldens,4:42,https://www.beatport.com/track/Gecko/5005412
138.0,v,2aEBlLMyN_0,https://youtu.be/2aEBlLMyN_0,5:16,316,Knife Party - LRAD,0.0755,"18,210,243",Progressive House,6,"[('Progressive House', 4.5), ('House', 0.5), ('Trance', 0.5), ('Progressive Trance', 0.5)]",Mainstage,128,F Minor,LRAD,Knife Party,5:15,https://www.beatport.com/track/LRAD/4359736
139.0,v,GhKm_SdHsLs,https://youtu.be/GhKm_SdHsLs,7:11,431,Eric Prydz - Generate,0.075,"16,578,262",Progressive House,6,"[('Progressive House', 2.67), ('Trance', 1.67), ('Progressive Trance', 1.67)]",Dance / Electro Pop,127,Gb Major,Generate,Eric Prydz,7:11,https://www.beatport.com/track/Generate/15744364
140.0,v,RCjvvuy-gas,https://youtu.be/RCjvvuy-gas,5:21,321,Hardwell & W&W - Jumper (Original Mix),0.0738,"11,850,804",Progressive House,6,"[('Progressive House', 3.0), ('Trance', 1.5), ('Progressive Trance', 1.5)]",Mainstage,128,F Minor,Jumper,Hardwell,5:15,https://www.beatport.com/track/Jumper/4596347
141.0,v,GqIHVJX8HRU,https://youtu.be/GqIHVJX8HRU,5:53,353,Jones & Stephenson The First Rebirth,0.0733,"10,245,106",Techno,6,"[('Techno', 2.14), ('Hardcore', 1.14), ('Trance', 1.0), ('Rave', 0.64), ('Hard Trance', 0.39), ('Progressive Trance', 0.25), ('Electro', 0.14), ('Breakbeat', 0.14), ('Happy Hardcore', 0.14)]",Trance (Main Floor),80,Ab Minor,The First Rebirth,Jones & Stephenson,5:58,https://www.beatport.com/track/The%20First%20Rebirth/8451929
144.0,v,tFuujExs03A,https://youtu.be/tFuujExs03A,5:30,330,Mr Fingers - Can You Feel It,0.0717,"4,199,486",House (Old School),6,"[('House (Old School)', 2.0), ('House', 0.83), ('Techno', 0.5), ('Tech House', 0.5), ('Progressive House', 0.33), ('Progressive Trance', 0.33)]",House,112,Eb Minor,Can You Feel It,Mr. Fingers,5:53,https://www.beatport.com/track/Can%20You%20Feel%20It/9659717
145.0,v,glAEPjCTr_I,https://youtu.be/glAEPjCTr_I,5:42,342,Sander van Doorn & Mayaeni - Nothing Inside (Original Mix),0.0717,"4,146,088",Progressive House,6,"[('Progressive House', 4.33), ('Trance', 0.5), ('Tech House', 0.33), ('Progressive Trance', 0.33)]",Mainstage,126,C Major,Nothing Inside,Sander Van Doorn,5:49,https://www.beatport.com/track/Nothing%20Inside/3464291
146.0,v,-OWN1jSLPFo,https://youtu.be/-OWN1jSLPFo,6:57,417,Joris Voorn - Goodbye Fly (Original Mix),0.0715,"3,472,946",Tech House,6,"[('Tech House', 3.5), ('House', 1.0), ('Progressive House', 1.0), ('Techno', 0.5)]",Tech House,126,C Minor,Goodbye Fly,Joris Voorn,6:55,https://www.beatport.com/track/Goodbye%20Fly/3435006
147.0,v,4bX7iwygIKQ,https://youtu.be/4bX7iwygIKQ,10:24,624,Oceanlab - Sky Falls Down - Armin Van Buuren Mix (HQ),0.0715,"3,400,093",Trance,6,"[('Trance', 6.0)]",Trance (Main Floor),138,D Minor,Sky Falls Down,Armin van Buuren,10:20,https://www.beatport.com/track/Sky%20Falls%20Down/215219
148.0,v,VotISSj1GS4,https://youtu.be/VotISSj1GS4,5:01,301,Public Energy - Three O' Three ( 1993 ),0.0713,"2,811,340",Techno,6,"[('Techno', 2.83), ('Tech House', 1.0), ('Trance', 1.0), ('Rave', 0.83), ('Acid', 0.33)]",Techno (Raw / Deep / Hypnotic),67,A Major,Three 'O Three,Public Energy,5:12,https://www.beatport.com/track/Three%20'O%20Three/17208103
149.0,v,KaBeQX3QH6Q,https://youtu.be/KaBeQX3QH6Q,5:45,345,Hard Rock Sofa vs Eva Shaw - Get Down (Original Mix),0.0713,"2,761,645",Progressive House,6,"[('Progressive House', 4.0), ('Progressive Trance', 1.0), ('House', 0.5), ('Trance', 0.5)]",Mainstage,128,Eb Minor,Get Down,Hard Rock Sofa,5:45,https://www.beatport.com/track/Get%20Down/5005418
151.0,v,eRIGWAyDzD8,https://youtu.be/eRIGWAyDzD8,9:23,563,Tiësto - Suburban Train (Original Mix),0.0712,"2,361,511",Trance,6,"[('Trance', 4.25), ('Progressive Trance', 0.5), ('Tech House', 0.25), ('House', 0.25), ('Psytrance', 0.25)]",Trance (Main Floor),140,E Major,Suburban Train,Tiesto,10:22,https://www.beatport.com/track/Suburban%20Train/907421
152.0,v,Q2fOcWKP7-E,https://youtu.be/Q2fOcWKP7-E,7:52,472,Moby - Why Does My Heart Feel So Bad (Enrico Sangiuliano remix) [Drumcode],0.0712,"2,173,293",Tech House,6,"[('Techno', 2.08), ('Tech House', 2.08), ('Trance', 1.08), ('Progressive Trance', 0.5), ('Progressive House', 0.25)]",Techno (Peak Time / Driving),125,A Major,Why Does My Heart Feel so Bad,Enrico Sangiuliano,7:14,https://www.beatport.com/track/Why%20Does%20My%20Heart%20Feel%20so%20Bad/8595095
153.0,v,EIv4_pFqS80,https://youtu.be/EIv4_pFqS80,4:51,291,DJ Hazard - Bricks Don't Roll,0.0711,"2,056,577",Drum & Bass,6,"[('Drum & Bass', 6.0)]",Drum & Bass,87,C Major,Bricks Don't Roll,DJ Hazard,4:13,https://www.beatport.com/track/Bricks%20Don't%20Roll/5690697
154.0,v,HIyhQGLhw-U,https://youtu.be/HIyhQGLhw-U,6:32,392,Trus'me - I Want You (Alan Fitzpatrick Remix),0.0711,"2,030,342",Tech House,6,"[('Tech House', 3.5), ('Techno', 1.0), ('Deep Tech House', 1.0), ('House', 0.5)]",Techno (Peak Time / Driving),124,F Major,I Want You,Alan Fitzpatrick,6:29,https://www.beatport.com/track/I%20Want%20You/5597452
155.0,v,D_hYwLFYO2I,https://youtu.be/D_hYwLFYO2I,6:18,378,Sam Paganini - Dusty (Original Mix) [DRUMCODE],0.0709,"1,333,321",Techno,6,"[('Techno', 3.5), ('Tech House', 2.0)]",Techno (Peak Time / Driving),127,Db Minor,Dusty,Sam Paganini,6:17,https://www.beatport.com/track/Dusty/5799415
156.0,v,nq8JGn_SkuM,https://youtu.be/nq8JGn_SkuM,5:59,359,Sander van Doorn - Neon (Club Mix),0.0709,"1,220,599",Progressive Trance,6,"[('Progressive Trance', 2.33), ('Progressive House', 1.83), ('Trance', 1.33), ('House', 0.5)]",Mainstage,127,Eb Minor,Neon,Sander Van Doorn,5:59,https://www.beatport.com/track/Neon/4993077
